Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total Personnage
zeltner_contes. Koli	[0.1818, 0.0385]	[0.1818, 0.012]	[0.4242, 0.0209]	[0.0, 0.0]	[0.0, 0.0]	[0.2121, 0.0203]	33
zeltner_contes. marchands	[0.0833, 0.0064]	[0.25, 0.006]	[0.3333, 0.006]	[0.0833, 0.0233]	[0.0, 0.0]	[0.25, 0.0087]	12
zeltner_contes. chef	[0.0, 0.0]	[0.0, 0.0]	[0.7143, 0.0075]	[0.0, 0.0]	[0.0, 0.0]	[0.2857, 0.0058]	7
zeltner_contes. assistants	[0.75, 0.0192]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.25, 0.0029]	4
zeltner_contes. meremarchand	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
zeltner_contes. marchand	[0.0, 0.0]	[0.2, 0.002]	[0.0, 0.0]	[0.0, 0.0]	[0.2, 0.0039]	[0.6, 0.0087]	5
zeltner_contes. vxpere	[0.2, 0.0064]	[0.0, 0.0]	[0.4, 0.003]	[0.0, 0.0]	[0.2, 0.0039]	[0.2, 0.0029]	5
zeltner_contes. sofas	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
zeltner_contes. roi	[0.6667, 0.0128]	[0.0, 0.0]	[0.3333, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	3
Total	[0.0793, 1.0]	[0.2532, 1.0]	[0.3411, 1.0]	[0.0219, 1.0]	[0.1291, 1.0]	[0.1754, 1.0]	1967
