Pers.Livre	Cluster 0	Cluster 1	Total Personnage
groupe_ensemble. _	[0.9768, 0.6474]	[0.0232, 0.0949]	1122
groupe_ensemble.NonNarrateur	[0.7065, 0.3526]	[0.2935, 0.9051]	845
Total	[0.8607, 1.0]	[0.1393, 1.0]	1967
