Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Cluster 6	Total Personnage
merimee_carmen. pers1	[0.2857, 0.0133]	[0.1429, 0.006]	[0.0, 0.0]	[0.2857, 0.0062]	[0.0, 0.0]	[0.0, 0.0]	[0.2857, 0.0083]	14
merimee_carmen. pers2	[0.3, 0.01]	[0.2, 0.006]	[0.0, 0.0]	[0.2, 0.0031]	[0.2, 0.0131]	[0.0, 0.0]	[0.1, 0.0021]	10
merimee_carmen. pers14	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0217]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
merimee_carmen. pers4	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0435]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_carmen. pers6	[0.013, 0.0033]	[0.2727, 0.0625]	[0.1429, 0.2391]	[0.1688, 0.0201]	[0.3636, 0.183]	[0.0, 0.0]	[0.039, 0.0062]	77
merimee_carmen. pers7	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0041]	2
merimee_carmen. pers3	[0.0667, 0.01]	[0.1333, 0.0179]	[0.0, 0.0]	[0.4, 0.0278]	[0.1778, 0.0523]	[0.0, 0.0]	[0.2222, 0.0207]	45
merimee_carmen. pers10	[0.0, 0.0]	[0.3333, 0.006]	[0.1667, 0.0217]	[0.5, 0.0046]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	6
merimee_carmen. pers8	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0131]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_carmen. pers9	[0.5714, 0.0133]	[0.0, 0.0]	[0.0, 0.0]	[0.1429, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.2857, 0.0041]	7
merimee_carmen. pers11	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
merimee_carmen. pers12	[0.0, 0.0]	[0.0, 0.0]	[0.4, 0.0435]	[0.2, 0.0015]	[0.4, 0.0131]	[0.0, 0.0]	[0.0, 0.0]	5
merimee_carmen. pers13	[0.0, 0.0]	[0.5, 0.006]	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.0131]	[0.0, 0.0]	[0.0, 0.0]	4
merimee_carmen. pers15	[0.0, 0.0]	[0.8, 0.0119]	[0.0, 0.0]	[0.2, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	5
